cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,DPP10,4.3084087,0.46495765,1.6443328450124125e-05,0.0012685595180101023,0.0
-1,RAVER2,4.2925935,1.0160708,1.765982248073219e-05,0.0013375833000973288,0.0
-1,MSX2,4.292051,2.8115828,1.77030399931015e-05,0.0013375833000973288,0.05555555555555555
-1,FTSJ1,4.278817,2.9062693,1.8788893172815494e-05,0.00139800810216817,0.0
-1,SLC5A8,4.274292,1.4247866,0.003426436739712342,0.05643364707708889,0.2222222222222222
-1,MYO6,4.2258835,1.9925526,2.380050436892792e-05,0.0016692238901423228,0.0
-1,SMC1B,4.1888285,2.0482657,2.803982021852209e-05,0.0018767474190095744,0.2222222222222222
-1,STPG2,4.180929,2.267233,0.00023696892985958644,0.00823592458296454,0.05555555555555555
-1,UNC93A,4.178511,1.9577242,2.934238069901438e-05,0.0019153909730543826,0.1111111111111111
-1,LRRIQ3,4.161808,1.0848073,3.1573764661903536e-05,0.0019938419070918423,0.0
-1,MORN2,4.158203,2.7075517,3.207605622596483e-05,0.0020007269453625213,0.2222222222222222
-1,EXO1,4.1395373,0.2845386,3.480066421827843e-05,0.002073610309396444,0.5
-1,CASC1,4.13397,1.1154743,3.565501759837819e-05,0.002107384064342853,0.0
-1,DNAH2,4.0994196,2.4855185,0.00011330911110222408,0.004928730766939472,0.0
-1,ENPP3,4.084874,1.1456236,4.4100751243921476e-05,0.0025754135925633507,0.0
-1,SPPL3,4.0407286,1.4099898,5.328538325167753e-05,0.0030156646629462902,0.0
-1,ZYG11B,4.0342574,2.529479,5.477528360537798e-05,0.00308806195033704,0.0
-1,ARMC4,3.9985695,1.9748967,6.37264631252079e-05,0.0034724999869490607,0.0
-1,TMEM67,3.9951415,1.0237429,6.465562825519423e-05,0.0034976833372771547,0.3888888888888889
-1,SPATA4,3.9867406,2.0810544,6.698717430431023e-05,0.003596245368129602,0.0
-1,ZMYND12,3.9859025,2.2187757,6.72241254514607e-05,0.003596245368129602,0.0
-1,C9orf9,3.9843645,2.2638285,6.766095878140652e-05,0.0036064521229740246,0.0
-1,BAIAP2,3.956346,1.7133547,7.610491693377868e-05,0.0038869194160812814,0.16666666666666666
-1,RDH5,3.9514818,0.88193077,7.766878260658071e-05,0.003939339153796748,0.2222222222222222
-1,ODF3,3.9449308,2.323283,7.982304259877936e-05,0.003979748838139142,0.0
-1,NOD1,3.9360366,0.7743263,8.283834457923656e-05,0.004088365167819695,0.16666666666666666
-1,ROPN1L,3.9096005,1.315748,9.244886057402447e-05,0.004473799395812851,0.1111111111111111
-1,FGF9,3.909521,2.6756523,9.247927527161236e-05,0.004473799395812851,0.05555555555555555
