cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,CCDC57,3.0820267,2.6520803,0.0020559637376530724,0.38636303162203506,0.16666666666666666
-1,COQ6,3.0732484,3.3242223,0.002117422222532657,0.3900898709219224,0.3333333333333333
-1,EIF4G2,3.0712004,2.576937,0.002131999436487861,0.3900898709219224,0.3333333333333333
-1,CDK19,3.065547,4.1689177,0.0021727224463546214,0.3900898709219224,0.16666666666666666
-1,UPF1,3.0167909,3.8429492,0.00255466084542501,0.4386738463299034,0.0
-1,ATG4C,3.0039768,2.2708347,0.0026647566608660835,0.4438636719883529,0.0
-1,WDR19,2.9518094,3.6338396,0.0031591785616251447,0.46608954154761295,0.16666666666666666
-1,AHCTF1,2.9488134,2.6963224,0.01590376636010501,0.42718080190844215,0.08333333333333333
-1,COL6A6,2.94633,4.0378203,0.0032156914117248297,0.46608954154761295,0.16666666666666666
-1,GRID2,2.9009948,1.652744,0.003719801092675197,0.46608954154761295,0.16666666666666666
-1,NUDT19,2.9009948,2.6539168,0.003719801092675197,0.46608954154761295,0.16666666666666666
-1,GULP1,2.8929758,4.725261,0.0038161055036194692,0.46608954154761295,0.16666666666666666
-1,FOXA1,2.8756807,5.2737126,0.004031572843322234,0.46608954154761295,0.3333333333333333
-1,GXYLT1,2.8756807,6.467378,0.004031572843322234,0.46608954154761295,0.0
-1,WNT7B,2.864829,5.428402,0.004172343595568799,0.46608954154761295,0.0
-1,DHCR24,2.860869,3.8294847,0.004224815297474386,0.46608954154761295,0.16666666666666666
-1,DLGAP5,2.8539774,3.2488184,0.004317559327565664,0.46608954154761295,0.16666666666666666
-1,HSDL2,2.8431258,2.712577,0.004467342755043369,0.46608954154761295,0.16666666666666666
-1,TMEM26,2.8431258,3.6394773,0.004467342755043369,0.46608954154761295,0.0
-1,MATN2,2.8367822,2.808723,0.006952522169783508,0.44210027395431384,0.16666666666666666
-1,TARBP1,2.8359761,4.8468757,0.004568586832188265,0.46608954154761295,0.0
-1,TAF1,2.8257663,3.9404716,0.0047167655211043154,0.46608954154761295,0.16666666666666666
-1,BET1,2.8214226,1.7833792,0.004781117438025242,0.46608954154761295,0.0
-1,CEP44,2.8214226,1.5297529,0.004781117438025242,0.46608954154761295,0.0
-1,INTS9,2.8214226,2.4609075,0.004781117438025242,0.46608954154761295,0.16666666666666666
-1,POLR3F,2.810571,2.1416297,0.004945368129190818,0.46608954154761295,0.0
-1,ANO10,2.8024557,2.7374163,0.0050715174809600845,0.46608954154761295,0.0
-1,MDC1,2.7997193,1.4019507,0.005114705470751049,0.46608954154761295,0.16666666666666666
-1,WDSUB1,2.7922485,3.1190722,0.005234313528357024,0.46608954154761295,0.16666666666666666
-1,FMNL2,2.7888677,1.2576134,0.0052892664333570255,0.46608954154761295,0.16666666666666666
-1,MRPL46,2.7888677,0.57604355,0.0052892664333570255,0.46608954154761295,0.16666666666666666
-1,PARK7,2.7888677,0.54922426,0.0052892664333570255,0.46608954154761295,0.16666666666666666
-1,SPATA24,2.7888677,-1.5248207,0.0052892664333570255,0.46608954154761295,0.0
-1,UBA3,2.7888677,1.3676069,0.0052892664333570255,0.46608954154761295,0.16666666666666666
-1,PARP1,2.778016,2.2305644,0.005469190963718749,0.46608954154761295,0.0
-1,PARP2,2.778016,-1.0057385,0.005469190963718749,0.46608954154761295,0.0
-1,C2CD3,2.767262,3.1803334,0.005652932631057384,0.47675790116512606,0.0
-1,RABGAP1,2.7668877,3.3436964,0.005659426579528717,0.47675790116512606,0.3333333333333333
-1,FAHD2A,2.7614114,2.2689283,0.005755212520719417,0.4820566007354584,0.16666666666666666
-1,FAHD1,2.7381241,3.4189568,0.006179072946926229,0.5146184730457084,0.16666666666666666
-1,CNOT8,2.7320096,2.564972,0.006294931851153342,0.5152453230078881,0.16666666666666666
-1,EIF4A2,2.7263615,2.8503447,0.006403682076819287,0.5152453230078881,0.16666666666666666
-1,B3GALT5,2.71834,4.9735794,0.0065610404060901925,0.5152453230078881,0.5
-1,KPNA2,2.71834,4.903437,0.0065610404060901925,0.5152453230078881,0.16666666666666666
-1,LACTB2,2.71834,4.795319,0.0065610404060901925,0.5152453230078881,0.0
-1,GGT1,2.7079842,4.306036,0.006769322555756198,0.5152453230078881,0.16666666666666666
-1,CRELD2,2.7016344,4.0709643,0.006899956831762339,0.5152453230078881,0.5
-1,GTPBP3,2.6976287,4.4970813,0.006983528122881405,0.5152453230078881,0.16666666666666666
-1,DGCR6,2.6915781,2.1950388,0.007111484367592695,0.5152453230078881,0.16666666666666666
-1,RAPGEF2,2.6817338,3.0247524,0.007324172616262984,0.5152453230078881,0.0
-1,MYOM1,2.6769176,3.0735369,0.007430291635102806,0.5152453230078881,0.3333333333333333
-1,ISOC1,2.666562,2.312192,0.0076631476315695704,0.5152453230078881,0.0
-1,NLRP5,2.666562,2.5193982,0.0076631476315695704,0.5152453230078881,0.0
-1,SRD5A1,2.666562,2.643818,0.0076631476315695704,0.5152453230078881,0.0
-1,STK11IP,2.666562,3.0966623,0.0076631476315695704,0.5152453230078881,0.0
-1,PWP1,2.6639667,3.5147924,0.007722520693918109,0.5152453230078881,0.16666666666666666
-1,APOA1BP,2.645851,2.4946415,0.008148574517414454,0.5152453230078881,0.3333333333333333
-1,PSMC3,2.645851,1.555481,0.008148574517414454,0.5152453230078881,0.16666666666666666
-1,TMEM69,2.645851,2.455809,0.008148574517414454,0.5152453230078881,0.16666666666666666
-1,NUDCD2,2.6354952,0.9367895,0.008401460610245314,0.5152453230078881,0.3333333333333333
-1,MAD1L1,2.6354432,3.901792,0.008402747764069721,0.5152453230078881,0.0
-1,WDR12,2.6319053,4.1876526,0.008490749840936635,0.5152453230078881,0.0
-1,COG1,2.626011,2.6133282,0.00863920309652442,0.5152453230078881,0.16666666666666666
-1,CCDC58,2.6251397,0.0064328625,0.00866134347269786,0.5152453230078881,0.0
-1,PRMT8,2.6251397,1.0686642,0.00866134347269786,0.5152453230078881,0.16666666666666666
-1,Prorsd1,2.6251397,-0.07959683,0.00866134347269786,0.5152453230078881,0.3333333333333333
-1,PLA2G4A,2.614784,-2.598995,0.00892838805048462,0.5152453230078881,0.0
-1,SPAG7,2.614784,-0.77290344,0.00892838805048462,0.5152453230078881,0.16666666666666666
-1,THOC6,2.614784,-0.45886752,0.00892838805048462,0.5152453230078881,0.0
-1,UPF2,2.6123016,3.8334723,0.008993489328234794,0.5169669277382966,0.0
-1,SMAD4,2.6099772,3.2664528,0.00905482249175196,0.5184593284535165,0.0
-1,FUCA1,2.5934584,4.8938723,0.009501601139295298,0.5398235251929864,0.16666666666666666
-1,CCDC15,2.5800595,5.450881,0.009878328058190231,0.5505571584674996,0.16666666666666666
-1,KIF6,2.5800595,6.7624836,0.009878328058190231,0.5505571584674996,0.16666666666666666
-1,SULT1C3,2.5800595,5.620836,0.009878328058190231,0.5505571584674996,0.0
